account_id,contract_tier,contract_duration_months,tenure_months,monthly_recurring_revenue,licensed_seats,active_users_last_30d,seat_utilization_ratio,login_frequency_last_30d,login_decay_ratio,feature_adoption_score,support_tickets_last_90d,p1_tickets_last_30d,ticket_escalation_velocity,csm_touchpoints_last_90d,billing_overdue_days,nps_score,churn
ACC-10000,Mid-Market,12,10,4013.1,92,71,0.7717,6.21,1.0841,0.8033,2,0,0.0001,3,0,28.0,0
ACC-10001,SMB,12,23,2450.19,11,9,0.8182,14.72,1.1677,0.6646,7,0,0.0,8,0,100.0,0
ACC-10002,SMB,12,40,2412.42,21,16,0.7619,6.08,1.2399,0.7537,1,0,0.0003,6,0,33.0,0
ACC-10003,Mid-Market,24,15,5213.9,105,92,0.8762,9.83,0.749,0.5892,1,0,0.0003,3,0,74.0,0
ACC-10004,Enterprise,12,9,42327.77,997,608,0.6098,13.31,1.1088,0.7123,3,0,0.0001,7,0,,0
ACC-10005,Enterprise,24,25,27531.56,666,537,0.8063,18.39,0.8701,0.8653,10,0,0.0,2,0,,0
ACC-10006,Enterprise,12,13,44156.68,726,525,0.7231,13.77,1.011,0.7372,2,0,0.0001,6,0,72.0,0
ACC-10007,SMB,24,10,2008.05,15,12,0.8,13.98,0.6608,0.8675,8,1,1.125,4,0,54.0,0
ACC-10008,Mid-Market,24,6,8590.84,139,112,0.8058,6.28,3.5376,0.6656,2,1,4.4995,2,0,6.0,0
ACC-10009,SMB,24,23,2390.72,17,16,0.9412,18.48,0.7541,0.727,3,0,0.0001,1,0,,0
ACC-10010,Enterprise,24,31,18178.61,817,608,0.7442,15.64,0.8024,0.4438,5,0,0.0001,4,0,34.0,0
ACC-10011,SMB,24,7,423.26,10,8,0.8,8.71,1.3858,0.6244,1,0,0.0003,4,12,70.0,0
ACC-10012,SMB,36,14,2308.13,21,19,0.9048,9.73,1.095,0.7865,7,0,0.0,2,0,0.0,0
ACC-10013,Mid-Market,12,14,4986.93,43,35,0.814,4.87,1.7254,0.8196,6,1,1.5,3,0,,0
ACC-10014,Enterprise,12,10,27651.52,810,610,0.7531,16.49,1.1768,0.8111,5,0,0.0001,2,0,42.0,0
ACC-10015,Enterprise,12,36,15036.45,926,663,0.716,11.22,1.4609,0.7847,3,1,2.9998,4,0,36.0,0
ACC-10016,Mid-Market,12,6,4633.65,92,78,0.8478,18.93,0.9522,0.6602,2,0,0.0001,2,12,,0
